SETTING,MODEL,RECALL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
NO CORRUPTIONS,DSGDETR,R@10,0.3490320527,0.4029698915,0.2537866196,0,0.7657784536,0.6200001492,0.6209920635,0.4998659853,0.6098484848,0.35739991,0.4507374631,0,0,0,0.5757683638,0.6542268228,0.5330188679,0.6449375272,0.4792152292,0.7572293522,0.9434703748,0.580024493,0,0.8639754278,0,0
NO CORRUPTIONS,DSGDETR,R@20,0.6354422775,0.6930247971,0.603246416,0.09920634921,0.8020215365,0.6751265262,0.6973170194,0.6007730267,0.7078832883,0.4877417904,0.5824975418,0,0,0,0.6447130286,0.7398529011,0.6436807427,0.6898078449,0.6213578089,0.7977534656,0.9525392987,0.6843908804,0,0.9014918824,0,0
NO CORRUPTIONS,DSGDETR,R@50,0.6966186031,0.7386333376,0.7274932475,0.3217120181,0.8441555744,0.6930308533,0.7854684744,0.6834014679,0.7838283828,0.5755735493,0.6649950836,0.3846838825,0.07559395248,0.5548387097,0.6639725166,0.8346499591,0.7252171309,0.7101582303,0.8005050505,0.8329709891,0.9712817412,0.7295724031,0.5,0.9159719175,0.3853658537,0.06722689076
NO CORRUPTIONS,DSGDETR,R@100,0.6976096579,0.7406576666,0.7281165593,0.621834845,0.8527884408,0.6939200804,0.7988756614,0.6913367651,0.7894539454,0.5900809717,0.6732546706,0.7729296527,0.4470842333,0.664516129,0.6645983701,0.8562153818,0.7319556754,0.7114684948,0.8258061383,0.838476284,0.9756650544,0.7322677746,0.5,0.9159719175,0.5853658537,0.487394958
NO CORRUPTIONS,DSGDETR + IMPARTAIL,R@10,0.2329954504,0.2815549927,0.2634739248,0.4233276644,0.7828281569,0.5110257656,0.5111078042,0.4067167656,0.7539753975,0.451754386,0.570993117,0.8352626892,0.3444924406,0,0.5168406052,0.6373830927,0.5843815514,0.5994847274,0.6329156954,0.7767374991,0.9377267231,0.5242800897,0,0.8883282141,0,0.231092437
NO CORRUPTIONS,DSGDETR + IMPARTAIL,R@20,0.5620662209,0.6512152541,0.5817092596,0.5174792139,0.8062341094,0.6135137151,0.6181371252,0.5241379224,0.8035178518,0.5390238417,0.6704031465,0.9171861086,0.4686825054,0,0.6239292759,0.7408517207,0.6483228512,0.6667095527,0.679535742,0.8069172686,0.9582829504,0.6414560729,0,0.9102676613,0,0.5588235294
NO CORRUPTIONS,DSGDETR + IMPARTAIL,R@50,0.6920648858,0.7427273124,0.729252372,0.5869708995,0.8398432956,0.686002027,0.7559479718,0.6630683099,0.8223072307,0.5709626631,0.7071779744,0.9180765806,0.5140388769,0.3032258065,0.6736355853,0.8253881776,0.7049266247,0.7045081547,0.777972028,0.8338943825,0.9668984281,0.7192006593,0.5,0.9166301009,0.4146341463,0.6470588235
NO CORRUPTIONS,DSGDETR + IMPARTAIL,R@100,0.6957692742,0.747244811,0.7329056721,0.6133314437,0.8569719328,0.6969534594,0.8075297619,0.6860360462,0.8239948995,0.5826585695,0.716027532,0.9180765806,0.5140388769,0.4258064516,0.6767464291,0.8613910833,0.713836478,0.7116368385,0.8217268842,0.8446010707,0.9740024184,0.7294590944,0.5,0.9166301009,0.5658536585,0.6470588235
NO CORRUPTIONS,STTRAN,R@10,0.0188223393,0.04980565725,0.032022647,0.01672335601,0.545823155,0.4872613213,0.1647067901,0.1395121615,0.3079432943,0.2237966712,0.4280235988,0.5859305432,0.01187904968,0.01935483871,0.3564346403,0.1086897303,0.09613656783,0.49410477,0.5914432789,0.6343128317,0.2305018138,0.4084180287,0,0.6461167179,0.00487804878,0
NO CORRUPTIONS,STTRAN,R@20,0.1710576044,0.256109706,0.2241845003,0.1349206349,0.7046504478,0.5465797688,0.4180764991,0.2909570151,0.5057755776,0.3029689609,0.4981317601,0.7756010686,0.0464362851,0.1483870968,0.4538093071,0.3798238445,0.3135669362,0.5682348875,0.6887140637,0.7423381724,0.5943168077,0.5364933846,0,0.7619569987,0.07317073171,0
NO CORRUPTIONS,STTRAN,R@50,0.5004580419,0.6044796749,0.5478045571,0.431122449,0.7956569786,0.603242098,0.6975308642,0.5149834673,0.6997824782,0.4158794422,0.5789577188,0.8913624221,0.2321814255,0.3677419355,0.5513145631,0.7513847271,0.6418837975,0.6285179353,0.7634032634,0.7907286626,0.91308948,0.637508584,0,0.8240456341,0.4414634146,0.07142857143
