"Context Fraction","Method Name","Scenario Name","Severity Level","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100"
"0.3","sttran_ant","full","-",19.19,20.24,20.24,20.24,10.62,11.54,11.54,11.54,29.64,40.9,46.35,46.67,15.68,25.69,47.44,52.05,9.19,9.23,9.23,9.23,4.8,4.84,4.84,4.84
"0.3","sttran_ant","partial",40,24.1,24.76,24.77,24.77,10.75,11.38,11.39,11.39,30.83,39.85,46.25,46.68,14.53,24.57,48.27,52.83,8.19,8.19,8.19,8.19,2.53,2.53,2.53,2.53
"0.3","sttran_ant","labelnoise",20,25.22,26.26,26.26,26.26,8.87,9.6,9.6,9.6,31.56,40.63,46.07,46.62,12.56,21.71,42.82,51.18,8.41,8.41,8.41,8.41,2.02,2.02,2.02,2.02
"0.3","dsgdetr_ant","full","-",20.89,22.12,22.12,22.12,11.51,12.56,12.56,12.56,31.29,43.37,48.36,48.61,17.89,28.15,48.79,53.97,5.99,6.02,6.02,6.02,5.16,5.2,5.2,5.2
"0.3","dsgdetr_ant","partial",40,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.3","dsgdetr_ant","labelnoise",20,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.3","sttran_gen_ant","full","-",20.28,21.36,21.36,21.36,12.58,13.55,13.55,13.55,30.98,42.33,46.56,46.75,18.53,28.73,48.78,52.5,9.11,9.14,9.14,9.14,5.29,5.32,5.32,5.32
"0.3","sttran_gen_ant","partial",40,27.55,28.72,28.72,28.72,15.09,16.31,16.31,16.31,34.04,42.55,46.74,46.96,19.74,29.65,49.62,52.83,9.47,9.47,9.47,9.47,3.45,3.45,3.45,3.45
"0.3","sttran_gen_ant","labelnoise",20,19.2,20.31,20.31,20.31,10.29,11.21,11.21,11.21,29.92,41.09,46.01,46.51,15.87,28.4,43.73,51.32,2.27,2.27,2.27,2.27,2.62,2.62,2.62,2.62
"0.3","dsgdetr_gen_ant","full","-",28.07,29.26,29.26,29.26,13.0,13.99,13.99,13.99,35.61,44.04,48.25,48.49,17.89,28.63,49.22,53.75,11.96,11.99,11.99,11.99,4.24,4.27,4.27,4.27
"0.3","dsgdetr_gen_ant","partial",40,24.64,25.75,25.75,25.75,13.9,14.94,14.94,14.94,32.25,41.81,47.45,47.79,18.14,28.4,49.01,52.8,9.28,9.28,9.28,9.28,2.83,2.83,2.83,2.83
"0.3","dsgdetr_gen_ant","labelnoise",20,23.48,24.59,24.59,24.59,10.66,11.54,11.54,11.54,31.95,42.6,47.89,48.48,15.31,24.38,44.18,53.11,4.91,4.91,4.91,4.91,1.69,1.69,1.69,1.69
"0.3","ode","full","-",22.55,23.74,23.75,23.75,9.43,10.53,10.54,10.54,30.0,39.83,46.85,48.09,14.26,23.3,44.57,53.46,6.46,6.46,6.46,6.46,2.73,2.77,2.77,2.77
"0.3","ode","partial",40,28.04,29.42,29.43,29.43,12.7,14.08,14.09,14.09,34.82,42.4,47.01,47.73,20.42,29.93,47.32,53.4,18.17,18.35,18.35,18.35,7.66,7.84,7.84,7.84
"0.3","ode","labelnoise",20,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.3","sde","full","-",29.28,30.82,30.83,30.83,13.53,15.21,15.22,15.22,35.89,43.67,47.76,48.35,20.55,31.18,49.82,54.96,17.36,17.48,17.48,17.48,6.4,6.52,6.52,6.52
"0.3","sde","partial",40,28.55,30.09,30.1,30.1,14.07,15.77,15.77,15.77,35.52,43.17,47.6,48.23,21.48,32.09,49.11,54.41,14.88,14.97,14.97,14.97,6.67,6.79,6.79,6.79
"0.3","sde","labelnoise",20,28.03,29.57,29.58,29.58,11.8,13.23,13.24,13.24,34.51,41.89,46.58,47.74,16.91,29.67,44.39,52.85,10.97,10.98,10.98,10.98,3.34,3.34,3.34,3.34
"0.5","sttran_ant","full","-",21.8,22.97,22.97,22.97,12.39,13.54,13.54,13.54,33.18,45.55,51.04,51.29,17.92,29.35,49.46,52.61,9.78,9.82,9.82,9.82,5.16,5.2,5.2,5.2
"0.5","sttran_ant","partial",40,27.52,28.54,28.54,28.54,12.97,14.05,14.05,14.05,34.72,45.18,50.91,51.26,17.31,28.97,48.72,53.19,9.11,9.11,9.11,9.11,2.81,2.81,2.81,2.81
"0.5","sttran_ant","labelnoise",20,27.56,28.66,28.66,28.66,9.75,10.58,10.58,10.58,34.11,44.51,50.6,51.21,13.63,23.67,43.38,51.47,9.05,9.05,9.05,9.05,2.14,2.14,2.14,2.14
"0.5","dsgdetr_ant","full","-",23.5,24.85,24.85,24.85,13.36,14.78,14.78,14.78,34.69,48.51,54.37,54.68,20.25,32.27,50.93,56.87,7.25,7.27,7.27,7.27,6.42,6.45,6.45,6.45
"0.5","dsgdetr_ant","partial",40,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.5","dsgdetr_ant","labelnoise",20,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.5","sttran_gen_ant","full","-",22.51,23.76,23.76,23.76,14.28,15.76,15.76,15.76,34.29,46.7,51.46,51.64,20.94,32.55,50.11,53.16,9.29,9.33,9.33,9.33,5.56,5.6,5.6,5.6
"0.5","sttran_gen_ant","partial",40,30.16,31.4,31.4,31.4,16.91,18.48,18.48,18.48,37.3,46.92,51.15,51.32,21.87,33.23,50.02,52.34,10.45,10.45,10.45,10.45,3.93,3.93,3.93,3.93
"0.5","sttran_gen_ant","labelnoise",20,21.36,22.55,22.55,22.55,11.4,12.4,12.4,12.4,32.79,44.96,50.39,50.87,17.02,26.43,44.12,51.48,2.21,2.21,2.21,2.21,2.45,2.45,2.45,2.45
"0.5","dsgdetr_gen_ant","full","-",31.66,33.0,33.0,33.0,15.03,16.32,16.32,16.32,39.57,49.58,54.29,54.52,19.9,32.33,50.63,55.8,13.35,13.37,13.37,13.37,4.52,4.55,4.55,4.55
"0.5","dsgdetr_gen_ant","partial",40,28.32,29.5,29.5,29.5,15.98,17.42,17.42,17.42,36.27,47.09,53.01,53.32,20.47,31.64,50.03,54.97,10.26,10.26,10.26,10.26,3.2,3.2,3.2,3.2
"0.5","dsgdetr_gen_ant","labelnoise",20,26.55,27.75,27.76,27.76,12.01,13.15,13.15,13.15,35.1,47.38,53.32,54.0,16.33,27.49,44.69,54.22,5.57,5.57,5.57,5.57,1.95,1.95,1.95,1.95
"0.5","ode","full","-",25.75,27.24,27.25,27.25,11.15,12.78,12.79,12.79,34.06,45.13,52.76,54.09,16.92,26.34,45.71,54.03,7.22,7.23,7.23,7.23,3.21,3.21,3.21,3.21
"0.5","ode","partial",40,31.86,33.59,33.61,33.61,14.52,16.41,16.42,16.42,39.08,47.96,53.38,54.21,22.73,33.57,49.72,55.64,20.47,20.7,20.7,20.7,8.74,8.99,9.0,9.0
"0.5","ode","labelnoise",20,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.5","sde","full","-",32.96,34.77,34.77,34.77,15.2,17.47,17.47,17.47,39.94,48.85,53.73,54.45,22.85,34.28,51.0,56.19,18.99,19.07,19.07,19.07,6.99,7.08,7.08,7.08
"0.5","sde","partial",40,32.33,34.07,34.09,34.09,15.73,17.88,17.89,17.89,39.72,48.38,53.53,54.25,23.62,34.31,50.59,55.98,16.82,16.91,16.91,16.91,7.6,7.73,7.73,7.73
"0.5","sde","labelnoise",20,31.89,33.57,33.59,33.59,13.22,14.83,14.84,14.84,38.68,47.25,52.66,53.96,18.81,28.85,45.84,54.48,12.29,12.29,12.29,12.29,3.69,3.69,3.69,3.69
"0.7","sttran_ant","full","-",27.04,28.2,28.2,28.2,15.57,16.82,16.82,16.82,41.33,54.77,59.85,60.01,23.49,36.35,55.4,59.0,11.9,11.94,11.94,11.94,6.34,6.38,6.38,6.38
"0.7","sttran_ant","partial",40,34.2,35.2,35.2,35.2,17.26,18.48,18.48,18.48,42.69,53.75,58.95,59.19,22.81,36.56,55.27,58.8,10.93,10.93,10.93,10.93,3.37,3.37,3.37,3.37
"0.7","sttran_ant","labelnoise",20,33.42,34.37,34.37,34.37,12.3,13.13,13.13,13.13,41.62,52.96,58.91,59.51,17.01,28.96,49.46,57.81,10.41,10.41,10.41,10.41,2.42,2.42,2.42,2.42
"0.7","dsgdetr_ant","full","-",27.73,28.96,28.96,28.96,15.31,16.64,16.64,16.64,41.6,56.61,62.27,62.52,24.24,38.04,56.69,61.7,8.27,8.29,8.29,8.29,7.38,7.41,7.41,7.41
"0.7","dsgdetr_ant","partial",40,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.7","dsgdetr_ant","labelnoise",20,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.7","sttran_gen_ant","full","-",27.05,28.17,28.17,28.17,17.18,18.56,18.56,18.56,41.44,54.93,59.62,59.74,25.27,38.32,56.07,58.42,11.05,11.08,11.08,11.08,6.25,6.27,6.27,6.27
"0.7","sttran_gen_ant","partial",40,35.96,37.03,37.03,37.03,20.96,22.69,22.69,22.69,45.49,55.55,59.59,59.72,28.02,41.66,57.11,59.28,12.53,12.53,12.53,12.53,4.69,4.69,4.69,4.69
"0.7","sttran_gen_ant","labelnoise",20,26.2,27.2,27.2,27.2,13.55,14.42,14.42,14.42,39.9,53.57,59.12,59.65,20.13,31.92,50.3,58.41,2.63,2.63,2.63,2.63,2.6,2.6,2.6,2.6
"0.7","dsgdetr_gen_ant","full","-",37.27,38.45,38.45,38.45,18.08,19.39,19.39,19.39,47.7,58.07,62.43,62.61,24.83,39.46,57.27,61.09,16.45,16.47,16.47,16.47,5.41,5.43,5.43,5.43
"0.7","dsgdetr_gen_ant","partial",40,33.87,34.89,34.89,34.89,20.64,21.81,21.81,21.81,44.28,55.9,61.17,61.37,26.31,40.96,58.14,61.85,11.97,11.97,11.97,11.97,3.74,3.74,3.74,3.74
"0.7","dsgdetr_gen_ant","labelnoise",20,31.42,32.52,32.52,32.52,14.42,15.5,15.5,15.5,41.67,55.1,61.28,61.96,19.19,32.81,52.53,62.42,6.5,6.5,6.5,6.5,2.27,2.27,2.27,2.27
"0.7","ode","full","-",30.82,32.16,32.17,32.17,13.63,15.14,15.14,15.14,40.86,53.03,60.37,61.56,20.48,32.39,52.8,60.09,8.41,8.41,8.41,8.41,3.74,3.74,3.74,3.74
