"Context Fraction","Method Name","Scenario Name","Severity Level","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100"
"0.3","sttran_ant","full","-",36.75,39.97,40.02,40.02,13.89,16.24,16.27,16.27,44.1,57.01,64.93,65.76,19.16,31.24,57.35,69.41,23.88,24.09,24.09,24.09,6.91,7.03,7.03,7.03
"0.3","sttran_ant","partial",40,32.37,34.82,34.85,34.85,16.09,18.32,18.33,18.33,39.9,54.08,64.41,65.74,20.96,32.9,56.38,69.75,12.55,12.55,12.55,12.55,4.58,4.58,4.58,4.58
"0.3","sttran_ant","labelnoise",20,36.49,39.73,39.77,39.77,12.21,14.31,14.33,14.33,43.36,56.25,64.63,65.68,16.98,26.9,50.41,67.18,11.19,11.19,11.19,11.19,2.77,2.77,2.77,2.77
"0.3","dsgdetr_ant","full","-",29.91,32.81,32.84,32.84,14.78,17.1,17.12,17.12,40.52,55.71,64.93,65.76,21.43,32.86,55.79,68.26,10.7,10.76,10.76,10.76,6.17,6.23,6.23,6.23
"0.3","dsgdetr_ant","partial",40,35.02,38.07,38.11,38.11,17.2,19.77,19.8,19.8,41.29,55.79,65.04,65.77,23.31,35.16,58.25,69.52,11.27,11.27,11.27,11.27,4.03,4.03,4.03,4.03
"0.3","dsgdetr_ant","labelnoise",20,31.2,33.83,33.86,33.86,10.56,12.09,12.11,12.11,38.8,53.62,64.43,65.65,14.38,26.9,49.27,66.59,7.43,7.43,7.43,7.43,2.43,2.43,2.43,2.43
"0.3","sttran_gen_ant","full","-",26.5,29.53,29.57,29.57,15.91,18.53,18.56,18.56,39.28,55.57,65.17,65.77,23.14,35.5,59.16,70.59,12.22,12.6,12.6,12.6,8.89,9.38,9.38,9.38
"0.3","sttran_gen_ant","partial",40,32.65,35.6,35.64,35.64,16.98,19.37,19.4,19.4,40.23,55.07,64.78,65.75,21.48,33.47,56.25,69.85,12.65,12.65,12.65,12.65,4.43,4.43,4.43,4.43
"0.3","sttran_gen_ant","labelnoise",20,32.89,36.01,36.05,36.05,13.47,15.78,15.81,15.81,40.69,55.22,64.65,65.66,17.9,29.48,52.02,67.96,7.86,7.86,7.86,7.86,2.53,2.53,2.53,2.53
"0.3","dsgdetr_gen_ant","full","-",36.19,39.28,39.32,39.32,15.08,17.51,17.53,17.53,43.82,57.77,65.14,65.78,21.18,34.34,57.37,70.08,15.3,15.36,15.36,15.36,6.21,6.29,6.29,6.29
"0.3","dsgdetr_gen_ant","partial",40,36.39,39.4,39.43,39.43,18.92,21.96,21.98,21.98,44.29,57.39,65.09,65.76,26.25,39.87,60.04,69.88,12.99,12.99,12.99,12.99,4.66,4.66,4.66,4.66
"0.3","dsgdetr_gen_ant","labelnoise",20,34.76,37.64,37.68,37.68,10.72,12.31,12.33,12.33,41.12,54.15,64.26,65.69,14.72,26.12,51.01,67.98,14.14,14.16,14.16,14.16,3.42,3.42,3.42,3.42
"0.3","ode","full","-",34.56,37.3,37.34,37.34,15.18,17.93,17.98,17.98,40.31,53.98,63.84,65.65,22.17,34.5,56.73,68.16,22.47,23.37,23.46,23.46,9.69,11.15,11.35,11.35
"0.3","ode","partial",40,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.3","ode","labelnoise",20,38.5,41.83,41.87,41.87,13.68,16.23,16.26,16.26,45.71,57.56,64.51,65.66,18.71,29.51,49.75,67.05,17.01,17.04,17.04,17.04,5.05,5.07,5.07,5.07
"0.3","sde","full","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.3","sde","partial",40,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.3","sde","labelnoise",20,38.77,42.09,42.13,42.13,14.25,16.82,16.87,16.87,46.19,58.22,64.75,65.7,19.74,30.89,51.63,68.08,14.86,14.87,14.87,14.87,4.5,4.51,4.51,4.51
"0.5","sttran_ant","full","-",41.72,45.3,45.33,45.33,15.92,18.88,18.9,18.9,50.26,64.91,73.23,73.97,22.62,36.22,62.28,75.14,25.63,25.78,25.78,25.78,7.6,7.72,7.72,7.72
"0.5","sttran_ant","partial",40,38.64,41.5,41.51,41.51,18.7,21.51,21.52,21.52,46.78,62.1,72.86,73.97,24.66,37.75,61.99,74.95,14.33,14.33,14.33,14.33,5.2,5.2,5.2,5.2
"0.5","sttran_ant","labelnoise",20,40.99,44.42,44.45,44.45,13.46,15.67,15.69,15.69,48.58,63.32,72.69,73.89,18.65,29.52,53.69,71.88,12.28,12.28,12.28,12.28,3.0,3.0,3.0,3.0
"0.5","dsgdetr_ant","full","-",34.09,37.28,37.3,37.3,16.91,19.56,19.58,19.58,45.84,63.14,73.25,73.97,23.75,36.68,60.52,72.98,11.92,11.97,11.97,11.97,7.12,7.16,7.16,7.16
