"Context Fraction","Method Name","Scenario Name","Severity Level","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100"
"0.3","sttran_ant","full","-",15.09,26.25,28.45,28.46,6.12,12.18,13.54,13.55,21.47,33.33,50.23,55.13,11.95,17.37,33.54,48.44,10.87,13.32,13.37,13.37,5.71,7.92,7.98,7.98
"0.3","sttran_ant","partial",40,17.77,27.06,28.98,28.99,6.04,10.74,11.83,11.83,19.02,29.75,48.11,54.78,6.58,12.17,29.22,47.27,10.04,10.11,10.11,10.11,2.82,2.83,2.83,2.83
"0.3","sttran_ant","labelnoise",20,19.01,29.88,31.92,31.92,5.91,11.12,12.27,12.28,21.21,33.43,49.74,54.61,8.63,14.6,28.78,42.84,9.79,9.89,9.89,9.89,2.35,2.37,2.37,2.37
"0.3","dsgdetr_ant","full","-",12.15,22.72,24.49,24.49,6.94,13.1,14.27,14.27,21.75,31.97,49.93,53.53,12.72,19.09,35.22,48.06,6.94,8.25,8.26,8.26,5.18,6.07,6.1,6.1
"0.3","dsgdetr_ant","partial",40,19.7,29.11,30.64,30.64,7.7,14.88,16.08,16.08,22.24,33.59,48.67,53.22,11.89,18.61,34.46,47.58,10.41,10.45,10.45,10.45,3.29,3.3,3.3,3.3
"0.3","dsgdetr_ant","labelnoise",20,13.96,21.98,23.18,23.18,5.07,8.43,9.07,9.07,17.7,27.09,47.14,53.28,6.92,11.71,25.25,41.07,5.39,5.4,5.4,5.4,1.84,1.85,1.85,1.85
"0.3","sttran_gen_ant","full","-",19.36,31.13,33.55,33.55,7.57,15.27,16.94,16.94,22.92,36.04,51.32,55.17,13.09,20.25,36.19,49.89,13.27,14.9,14.94,14.94,4.98,6.4,6.44,6.44
"0.3","sttran_gen_ant","partial",40,19.24,30.31,32.61,32.61,8.45,16.8,18.61,18.62,22.06,35.47,50.47,55.0,12.83,21.05,37.47,51.06,10.97,11.08,11.08,11.08,3.81,3.88,3.88,3.88
"0.3","sttran_gen_ant","labelnoise",20,19.23,30.27,32.45,32.45,6.38,12.32,13.7,13.7,22.3,35.09,50.02,54.71,10.77,16.27,30.07,43.79,9.98,10.11,10.11,10.11,2.49,2.54,2.54,2.54
"0.3","dsgdetr_gen_ant","full","-",18.76,28.29,29.94,29.94,7.11,12.81,13.82,13.82,20.77,33.08,49.19,53.91,11.46,17.83,34.09,49.08,13.52,14.78,14.8,14.8,4.87,5.69,5.71,5.71
"0.3","dsgdetr_gen_ant","partial",40,16.48,24.68,26.26,26.26,8.27,15.82,17.09,17.09,18.42,29.73,47.28,53.77,12.46,20.57,36.52,49.16,10.08,10.13,10.13,10.13,3.02,3.06,3.06,3.06
"0.3","dsgdetr_gen_ant","labelnoise",20,10.89,20.19,21.82,21.82,5.92,10.87,11.9,11.9,18.82,28.92,48.46,53.67,9.66,14.95,29.74,43.49,1.7,1.71,1.71,1.71,2.18,2.19,2.19,2.19
"0.3","ode","full","-",15.14,25.67,30.13,30.17,5.53,11.93,18.98,19.01,22.61,31.61,44.47,51.68,12.59,19.26,32.69,44.33,13.29,18.35,20.39,20.54,4.68,7.88,9.93,14.01
"0.3","ode","partial",40,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.3","ode","labelnoise",20,16.06,27.85,33.64,33.69,5.09,10.52,13.7,13.72,26.35,35.44,46.66,52.55,11.88,17.58,28.95,41.72,10.97,12.24,12.28,12.28,3.08,3.43,3.44,3.44
"0.3","sde","full","-",15.88,27.77,33.38,33.45,5.88,13.38,17.22,17.25,26.29,35.66,47.2,52.37,14.29,22.02,36.44,46.77,12.8,15.67,16.02,16.02,4.31,6.08,6.36,6.36
"0.3","sde","partial",40,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
