"Method Name","Scenario","Partial Percentage","Dataset Corruption Mode","Video Corruption Mode","Corruption Type","Severity Level","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100"
"sttran","full","-","fixed","Fixed","no_corruption","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"sttran","full","-","fixed","Fixed","gaussian_noise","3",56.71,59.3,59.32,59.32,22.15,25.17,25.25,25.25,66.34,89.39,99.08,99.89,35.83,57.22,80.19,95.21,66.17,77.03,78.23,78.23,29.3,41.77,43.91,43.91
"sttran","full","-","fixed","Fixed","shot_noise","3",57.19,59.82,59.84,59.84,22.9,26.01,26.07,26.07,66.94,89.74,99.08,99.89,37.28,58.24,80.2,94.86,66.64,77.6,78.81,78.81,30.19,43.27,45.48,45.48
"sttran","full","-","fixed","Fixed","impulse_noise","3",56.08,58.57,58.59,58.59,20.83,23.5,23.56,23.56,65.82,89.27,99.06,99.89,34.19,55.76,80.13,94.92,65.85,76.56,77.75,77.75,27.89,39.54,41.57,41.57
"sttran","full","-","fixed","Fixed","speckle_noise","3",58.14,60.87,60.88,60.88,24.9,28.23,28.28,28.28,67.91,90.39,99.13,99.89,40.02,60.29,80.43,95.02,67.43,78.45,79.64,79.64,32.17,46.22,48.58,48.58
"sttran","full","-","fixed","Fixed","gaussian_blur","3",62.88,66.11,66.13,66.13,28.87,32.64,32.72,32.72,70.75,91.25,99.13,99.89,42.75,61.38,80.37,95.44,68.65,79.52,80.54,80.54,34.16,48.24,50.33,50.33
"sttran","full","-","fixed","Fixed","defocus_blur","3",62.52,65.73,65.76,65.76,28.5,32.3,32.39,32.39,70.55,91.17,99.13,99.89,42.45,61.42,80.19,95.48,68.38,79.28,80.33,80.33,33.99,48.23,50.39,50.39
"sttran","full","-","fixed","Fixed","motion_blur","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"sttran","full","-","fixed","Fixed","zoom_blur","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"sttran","full","-","fixed","Fixed","fog","3",63.51,66.7,66.72,66.72,28.08,31.96,32.04,32.04,71.64,91.94,99.14,99.9,43.58,62.29,80.33,95.36,70.1,80.46,81.36,81.36,34.83,49.11,51.19,51.19
"sttran","full","-","fixed","Fixed","frost","3",60.97,64.03,64.05,64.05,26.42,30.11,30.18,30.18,70.05,91.07,99.07,99.89,41.89,61.27,80.41,94.88,68.16,78.22,79.12,79.12,33.5,47.02,48.96,48.96
"sttran","full","-","fixed","Fixed","snow","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"sttran","full","-","fixed","Fixed","spatter","3",62.38,65.54,65.56,65.56,25.62,28.97,29.05,29.05,70.69,91.48,99.14,99.9,40.36,60.04,80.02,95.42,68.96,79.06,79.95,79.95,32.37,45.0,46.71,46.71
"sttran","full","-","fixed","Fixed","contrast","3",61.62,64.62,64.64,64.64,26.73,30.25,30.32,30.32,70.39,91.35,99.14,99.9,41.98,61.15,80.52,95.64,68.83,79.06,79.97,79.97,33.69,47.34,49.34,49.34
"sttran","full","-","fixed","Fixed","brightness","3",65.22,68.61,68.63,68.63,29.58,33.69,33.79,33.79,72.34,92.16,99.17,99.9,44.4,62.77,80.49,95.32,70.82,81.6,82.54,82.54,35.59,50.65,52.73,52.73
"sttran","full","-","fixed","Fixed","elastic_transform","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"sttran","full","-","fixed","Fixed","pixelate","3",62.92,66.19,66.21,66.21,27.78,31.46,31.55,31.55,70.2,90.93,99.12,99.89,40.76,59.76,80.39,95.54,68.1,79.01,80.08,80.08,33.07,46.48,48.48,48.48
"sttran","full","-","fixed","Fixed","jpeg_compression","3",62.16,65.38,65.41,65.41,27.0,30.65,30.75,30.75,69.91,90.72,99.14,99.89,40.49,59.79,80.46,95.18,67.56,78.48,79.56,79.56,32.62,45.95,48.07,48.07
"sttran","full","-","fixed","Fixed","sun_glare","3",57.53,60.11,60.13,60.13,23.97,26.98,27.06,27.06,68.09,90.49,99.14,99.9,38.8,58.39,79.89,95.1,66.5,76.45,77.37,77.37,30.8,42.97,44.89,44.89
"sttran","full","-","fixed","Fixed","rain","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"sttran","full","-","fixed","Fixed","dust","3",57.75,60.39,60.41,60.41,23.8,26.86,26.94,26.94,67.41,89.89,99.11,99.89,37.38,57.78,79.98,95.03,66.37,76.81,77.88,77.88,30.39,42.66,44.8,44.8
"sttran","full","-","fixed","Fixed","wildfire_smoke","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"sttran","full","-","fixed","Fixed","saturate","3",65.83,69.25,69.27,69.27,30.28,34.47,34.57,34.57,72.84,92.49,99.18,99.9,45.53,63.39,80.5,95.56,71.49,82.32,83.27,83.27,36.4,51.76,53.9,53.9
"sttran","full","-","fixed","Fixed","glass_blur","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"sttran","full","-","mixed","fixed","Mixed","3",63.39,66.64,66.66,66.66,28.35,32.31,32.38,32.38,71.2,91.69,99.15,99.89,42.81,61.73,80.38,95.53,69.72,80.39,81.36,81.36,34.56,48.9,51.01,51.01
"sttran","full","-","mixed","mixed","Mixed","3",59.99,62.9,62.92,62.92,25.21,28.53,28.6,28.6,68.87,90.44,99.12,99.89,39.31,59.25,80.41,94.86,67.48,78.12,79.19,79.19,31.66,44.63,46.69,46.69
"sttran","partial","10","fixed","Fixed","no_corruption","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"sttran","partial","10","fixed","Fixed","gaussian_noise","3",18.99,19.26,19.26,19.26,10.65,12.23,12.26,12.26,14.36,35.47,77.28,97.19,15.34,32.72,69.97,96.46,12.45,12.45,12.45,12.45,3.86,3.86,3.86,3.86
"sttran","partial","10","fixed","Fixed","shot_noise","3",15.09,15.22,15.22,15.22,10.46,11.85,11.88,11.88,15.58,36.06,75.65,96.72,16.97,32.81,68.68,95.37,12.43,12.43,12.43,12.43,3.85,3.85,3.85,3.85
"sttran","partial","10","fixed","Fixed","impulse_noise","3",15.47,15.66,15.66,15.66,10.37,11.78,11.84,11.84,11.96,28.72,68.93,95.97,14.89,31.67,71.39,96.16,10.55,10.55,10.55,10.55,3.6,3.6,3.6,3.6
"sttran","partial","10","fixed","Fixed","speckle_noise","3",20.58,20.99,20.99,20.99,11.68,12.24,12.24,12.24,14.13,32.49,74.69,97.58,15.19,29.13,69.39,96.44,15.56,15.56,15.56,15.56,3.9,3.9,3.9,3.9
"sttran","partial","10","fixed","Fixed","gaussian_blur","3",19.57,19.8,19.8,19.8,9.17,9.94,9.95,9.95,11.18,29.47,72.88,96.95,15.29,31.63,69.62,95.66,13.65,13.65,13.65,13.65,3.67,3.67,3.67,3.67
"sttran","partial","10","fixed","Fixed","defocus_blur","3",15.08,15.35,15.35,15.35,9.19,10.55,10.59,10.59,14.52,31.39,72.5,96.68,14.84,32.25,70.66,95.67,8.75,8.75,8.75,8.75,3.91,3.91,3.91,3.91
"sttran","partial","10","fixed","Fixed","motion_blur","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"sttran","partial","10","fixed","Fixed","zoom_blur","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"sttran","partial","10","fixed","Fixed","fog","3",8.87,9.19,9.19,9.19,10.72,11.75,11.76,11.76,13.33,27.91,67.97,94.89,17.15,34.27,69.33,94.82,4.26,4.26,4.26,4.26,3.86,3.86,3.86,3.86
"sttran","partial","10","fixed","Fixed","frost","3",22.52,22.92,22.92,22.92,12.27,13.01,13.03,13.03,26.53,41.44,75.63,96.43,18.08,33.26,69.83,95.78,4.35,4.35,4.35,4.35,3.83,3.83,3.83,3.83
"sttran","partial","10","fixed","Fixed","snow","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
