"Method Name","Scenario","Partial Percentage","Dataset Corruption Mode","Video Corruption Mode","Corruption Type","Severity Level","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100","R@10","R@20","R@50","R@100","mR@10","mR@20","mR@50","mR@100"
"sttran","full","-","fixed","Fixed","no_corruption","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"sttran","full","-","fixed","Fixed","gaussian_noise","3",17.31,17.8,17.8,17.8,9.44,10.25,10.27,10.27,20.86,25.72,27.2,27.34,14.94,18.48,23.03,25.77,19.86,22.16,22.3,22.3,11.37,15.18,15.53,15.53
"sttran","full","-","fixed","Fixed","shot_noise","3",18.16,18.68,18.68,18.68,10.02,10.89,10.91,10.91,21.69,26.8,28.4,28.55,15.76,19.51,24.25,27.47,20.78,23.26,23.41,23.41,12.13,16.26,16.64,16.64
"sttran","full","-","fixed","Fixed","impulse_noise","3",16.44,16.89,16.89,16.89,8.67,9.41,9.43,9.43,19.64,24.09,25.45,25.59,13.65,16.89,21.35,24.01,18.82,20.92,21.04,21.04,10.47,13.99,14.35,14.35
"sttran","full","-","fixed","Fixed","speckle_noise","3",20.97,21.6,21.6,21.6,12.29,13.36,13.38,13.38,24.89,30.7,32.66,32.82,19.19,23.38,30.46,33.45,23.91,26.91,27.14,27.14,14.53,19.78,20.44,20.44
"sttran","full","-","fixed","Fixed","gaussian_blur","3",31.6,32.63,32.63,32.63,19.37,21.16,21.2,21.2,37.8,46.35,49.05,49.31,29.42,35.67,43.47,48.2,35.24,39.59,39.86,39.86,22.24,29.95,30.76,30.76
"sttran","full","-","fixed","Fixed","defocus_blur","3",31.07,32.08,32.09,32.09,18.9,20.68,20.72,20.72,37.36,45.8,48.45,48.71,28.92,35.07,44.84,49.55,34.68,38.97,39.24,39.24,21.76,29.34,30.14,30.14
"sttran","full","-","fixed","Fixed","motion_blur","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"sttran","full","-","fixed","Fixed","zoom_blur","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"sttran","full","-","fixed","Fixed","fog","3",34.97,36.15,36.15,36.15,19.75,21.76,21.8,21.8,40.57,49.67,52.66,52.93,30.65,37.21,45.52,51.08,38.99,43.82,44.14,44.14,23.32,31.69,32.66,32.66
"sttran","full","-","fixed","Fixed","frost","3",24.55,25.37,25.38,25.38,14.14,15.61,15.66,15.66,28.9,35.63,37.96,38.2,22.58,27.65,36.25,40.77,27.39,30.79,31.03,31.03,17.0,23.21,23.96,23.96
"sttran","full","-","fixed","Fixed","snow","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"sttran","full","-","fixed","Fixed","spatter","3",30.21,31.23,31.24,31.24,15.97,17.56,17.58,17.58,34.94,42.81,45.4,45.68,24.89,30.55,39.0,44.39,33.56,37.54,37.8,37.8,19.02,25.51,26.19,26.19
"sttran","full","-","fixed","Fixed","contrast","3",30.06,31.05,31.05,31.05,17.04,18.65,18.67,18.67,35.27,43.47,46.22,46.46,26.5,32.33,39.7,44.56,33.72,37.94,38.23,38.23,20.29,27.28,28.15,28.15
"sttran","full","-","fixed","Fixed","brightness","3",39.54,40.9,40.91,40.91,22.07,24.3,24.35,24.35,45.59,55.8,59.04,59.39,33.53,41.24,51.1,57.61,43.74,49.07,49.39,49.39,25.68,34.78,35.71,35.71
"sttran","full","-","fixed","Fixed","elastic_transform","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"sttran","full","-","fixed","Fixed","pixelate","3",36.34,37.5,37.51,37.51,20.17,22.03,22.05,22.05,43.27,53.47,56.75,57.07,31.91,39.45,51.16,57.15,40.41,45.3,45.62,45.62,23.88,31.77,32.61,32.61
"sttran","full","-","fixed","Fixed","jpeg_compression","3",33.4,34.5,34.51,34.51,18.17,19.93,19.97,19.97,39.66,48.97,51.99,52.3,28.63,35.55,44.42,50.16,37.01,41.5,41.8,41.8,21.36,28.52,29.36,29.36
"sttran","full","-","fixed","Fixed","sun_glare","3",21.3,22.0,22.0,22.0,11.92,13.14,13.16,13.16,24.9,31.08,33.07,33.25,18.67,23.07,28.67,32.3,24.09,27.15,27.38,27.38,13.95,19.09,19.76,19.76
"sttran","full","-","fixed","Fixed","rain","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"sttran","full","-","fixed","Fixed","dust","3",21.93,22.62,22.62,22.62,12.85,14.04,14.06,14.06,26.12,32.25,34.24,34.41,19.89,24.2,29.05,32.52,24.72,27.83,28.05,28.05,14.88,20.18,20.82,20.82
"sttran","full","-","fixed","Fixed","wildfire_smoke","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"sttran","full","-","fixed","Fixed","saturate","3",43.22,44.68,44.68,44.68,24.24,26.8,26.86,26.86,49.7,60.66,64.1,64.44,37.46,45.57,55.98,62.42,48.04,53.84,54.18,54.18,28.48,38.75,39.77,39.77
"sttran","full","-","fixed","Fixed","glass_blur","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"sttran","full","-","mixed","fixed","Mixed","3",34.65,35.79,35.8,35.8,19.49,21.43,21.46,21.46,40.31,49.26,52.14,52.43,30.46,37.09,45.48,50.96,38.61,43.31,43.6,43.6,23.12,31.31,32.16,32.16
"sttran","full","-","mixed","mixed","Mixed","3",23.55,24.32,24.33,24.33,13.67,15.01,15.04,15.04,27.95,34.55,36.72,36.93,21.08,26.02,32.21,36.38,26.4,29.71,29.96,29.96,16.0,21.73,22.47,22.47
"sttran","partial","10","fixed","Fixed","no_corruption","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"sttran","partial","10","fixed","Fixed","gaussian_noise","3",0.34,0.35,0.35,0.35,0.19,0.21,0.21,0.21,0.24,0.57,1.49,1.87,0.09,0.24,0.92,1.31,0.13,0.13,0.13,0.13,0.05,0.05,0.05,0.05
"sttran","partial","10","fixed","Fixed","shot_noise","3",0.09,0.09,0.09,0.09,0.05,0.05,0.05,0.05,0.14,0.36,0.82,0.86,0.16,0.42,0.76,0.8,0.06,0.06,0.06,0.06,0.03,0.03,0.03,0.03
"sttran","partial","10","fixed","Fixed","impulse_noise","3",0.36,0.37,0.37,0.37,0.21,0.22,0.22,0.22,0.44,0.68,1.34,1.5,0.53,0.96,1.51,1.68,0.18,0.18,0.18,0.18,0.06,0.06,0.06,0.06
"sttran","partial","10","fixed","Fixed","speckle_noise","3",0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.08,0.11,0.22,0.24,0.08,0.18,0.28,0.3,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"sttran","partial","10","fixed","Fixed","gaussian_blur","3",0.19,0.19,0.19,0.19,0.07,0.08,0.08,0.08,0.18,0.37,0.77,0.95,0.2,0.28,0.54,0.84,0.12,0.12,0.12,0.12,0.03,0.03,0.03,0.03
"sttran","partial","10","fixed","Fixed","defocus_blur","3",0.11,0.11,0.11,0.11,0.04,0.04,0.04,0.04,0.29,0.68,1.11,1.16,0.31,0.68,1.1,1.16,0.1,0.1,0.1,0.1,0.04,0.04,0.04,0.04
"sttran","partial","10","fixed","Fixed","motion_blur","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"sttran","partial","10","fixed","Fixed","zoom_blur","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"sttran","partial","10","fixed","Fixed","fog","3",0.2,0.2,0.2,0.2,0.54,0.56,0.56,0.56,0.31,0.62,1.29,1.45,0.96,1.25,1.47,1.55,0.06,0.06,0.06,0.06,0.04,0.04,0.04,0.04
"sttran","partial","10","fixed","Fixed","frost","3",0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.26,0.53,0.89,0.93,0.52,0.92,1.19,1.26,0.08,0.08,0.08,0.08,0.03,0.03,0.03,0.03
"sttran","partial","10","fixed","Fixed","snow","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"sttran","partial","10","fixed","Fixed","spatter","3",27.17,28.05,28.06,28.06,21.43,23.95,23.98,23.98,33.21,42.31,45.73,45.94,31.47,39.06,44.93,46.4,31.29,35.45,35.79,35.79,23.62,32.84,34.11,34.11
"sttran","partial","10","fixed","Fixed","contrast","3",25.97,26.77,26.78,26.78,22.88,25.71,25.75,25.75,33.12,42.28,46.03,46.3,33.5,40.23,47.2,48.17,30.57,34.42,34.69,34.69,25.43,34.21,35.19,35.19
"sttran","partial","10","fixed","Fixed","brightness","3",35.2,36.31,36.31,36.31,28.65,32.12,32.18,32.18,43.04,54.76,59.12,59.44,42.36,51.63,58.09,59.36,40.81,46.26,46.66,46.66,32.01,45.04,46.64,46.64
"sttran","partial","10","fixed","Fixed","elastic_transform","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"sttran","partial","10","fixed","Fixed","pixelate","3",32.31,33.34,33.34,33.34,24.83,27.35,27.41,27.41,40.9,52.25,56.49,56.71,38.57,47.95,56.41,57.8,37.53,42.89,43.34,43.34,28.61,39.91,41.33,41.33
"sttran","partial","10","fixed","Fixed","jpeg_compression","3",29.91,30.89,30.9,30.9,22.84,25.32,25.38,25.38,37.46,47.82,51.72,51.93,35.49,44.05,50.31,51.41,34.38,39.17,39.58,39.58,26.23,36.61,38.04,38.04
"sttran","partial","10","fixed","Fixed","sun_glare","3",18.1,18.66,18.66,18.66,15.47,17.38,17.43,17.43,22.71,29.63,32.51,32.74,22.38,28.0,31.71,32.45,21.32,24.04,24.22,24.22,17.02,23.25,23.9,23.9
"sttran","partial","10","fixed","Fixed","rain","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"sttran","partial","10","fixed","Fixed","dust","3",18.74,19.3,19.31,19.31,16.59,18.42,18.44,18.44,24.27,31.0,33.77,33.98,24.25,29.19,32.66,33.35,22.21,24.97,25.16,25.16,18.38,24.73,25.39,25.39
"sttran","partial","10","fixed","Fixed","wildfire_smoke","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"sttran","partial","10","fixed","Fixed","saturate","3",38.27,39.46,39.47,39.47,31.07,34.81,34.87,34.87,46.6,59.19,63.89,64.23,45.41,55.53,64.33,65.91,44.5,50.49,50.95,50.95,34.51,48.75,50.5,50.5
"sttran","partial","10","fixed","Fixed","glass_blur","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"sttran","partial","10","mixed","fixed","Mixed","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"sttran","partial","10","mixed","mixed","Mixed","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"dsgdetr","full","-","fixed","Fixed","no_corruption","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"dsgdetr","full","-","fixed","Fixed","gaussian_noise","3",16.97,17.47,17.47,17.47,9.56,10.35,10.35,10.35,20.93,25.41,26.84,26.97,15.71,19.35,23.44,26.05,19.39,21.66,21.79,21.79,11.4,15.3,15.65,15.65
"dsgdetr","full","-","fixed","Fixed","shot_noise","3",17.53,18.03,18.03,18.03,10.01,10.81,10.82,10.82,21.89,26.62,28.1,28.24,16.57,20.44,26.47,31.04,20.3,22.66,22.8,22.8,12.05,16.29,16.65,16.65
"dsgdetr","full","-","fixed","Fixed","impulse_noise","3",15.9,16.38,16.38,16.38,8.69,9.45,9.46,9.46,19.25,23.42,24.69,24.83,14.36,17.72,23.4,25.93,18.05,20.23,20.35,20.35,10.45,14.2,14.56,14.56
"dsgdetr","full","-","fixed","Fixed","speckle_noise","3",21.13,21.77,21.77,21.77,12.6,13.69,13.69,13.69,26.24,32.2,34.21,34.38,20.31,25.01,32.17,34.95,24.61,27.7,27.91,27.91,14.97,20.69,21.19,21.19
