"Context Fraction","Method Name","Scenario Name","Partial Percentage","R@10","R@20","R@50","R@100","R@10","R@20","R@50","R@100","R@10","R@20","R@50","R@100","R@10","R@20","R@50","R@100","R@10","R@20","R@50","R@100","R@10","R@20","R@50","R@100","R@10","R@20","R@50","R@100","R@10","R@20","R@50","R@100","R@10","R@20","R@50","R@100"
"0.3","sttran_ant","full","-",15.09,26.25,28.45,28.46,21.47,33.33,50.23,55.13,10.87,13.32,13.37,13.37,19.19,20.24,20.24,20.24,29.64,40.9,46.35,46.67,9.19,9.23,9.23,9.23,36.75,39.97,40.02,40.02,44.1,57.01,64.93,65.76,23.88,24.09,24.09,24.09
"0.3","sttran_ant","partial","10",16.71,22.22,23.09,23.09,17.84,27.56,45.1,54.03,10.4,10.48,10.48,10.48,16.52,17.16,17.16,17.16,24.46,35.36,44.95,46.2,6.75,6.75,6.75,6.75,24.93,26.63,26.64,26.64,35.12,49.87,63.86,65.73,11.63,11.63,11.63,11.63
"0.3","dsgdetr_ant","full","-",12.15,22.72,24.49,24.49,21.75,31.97,49.93,53.53,6.94,8.25,8.26,8.26,20.89,22.12,22.12,22.12,31.29,43.37,48.36,48.61,5.99,6.02,6.02,6.02,29.91,32.81,32.84,32.84,40.52,55.71,64.93,65.76,10.7,10.76,10.76,10.76
"0.3","dsgdetr_ant","partial","10",18.11,24.84,25.64,25.64,19.9,29.85,45.15,52.6,9.68,9.72,9.72,9.72,22.28,22.89,22.89,22.89,30.01,39.73,47.03,48.08,8.03,8.03,8.03,8.03,30.26,32.15,32.19,32.19,36.65,52.58,64.71,65.77,11.42,11.42,11.42,11.42
"0.3","sttran_gen_ant","full","-",19.36,31.13,33.55,33.55,22.92,36.04,51.32,55.17,13.27,14.9,14.94,14.94,20.28,21.36,21.36,21.36,30.98,42.33,46.56,46.75,9.11,9.14,9.14,9.14,26.5,29.53,29.57,29.57,39.28,55.57,65.17,65.77,12.22,12.6,12.6,12.6
"0.3","sttran_gen_ant","partial","10",18.29,27.42,29.33,29.34,19.51,30.41,48.55,54.93,10.68,10.78,10.78,10.78,21.77,22.43,22.43,22.43,29.38,40.21,45.75,46.2,6.68,6.68,6.68,6.68,33.29,35.81,35.84,35.84,40.48,55.19,64.64,65.71,9.85,9.85,9.85,9.85
"0.3","dsgdetr_gen_ant","full","-",18.76,28.29,29.94,29.94,20.77,33.08,49.19,53.91,13.52,14.78,14.8,14.8,28.07,29.26,29.26,29.26,35.61,44.04,48.25,48.49,11.96,11.99,11.99,11.99,36.19,39.28,39.32,39.32,43.82,57.77,65.14,65.78,15.3,15.36,15.36,15.36
"0.3","dsgdetr_gen_ant","partial","10",16.93,23.46,24.48,24.48,18.93,29.91,47.07,53.08,9.3,9.35,9.35,9.35,25.32,26.26,26.26,26.26,32.18,41.95,47.68,48.0,9.24,9.24,9.24,9.24,30.94,33.22,33.25,33.25,37.5,52.85,63.88,65.65,9.63,9.63,9.63,9.63
"0.3","ode","full","-",15.14,25.67,30.13,30.17,22.61,31.61,44.47,51.68,13.29,18.35,20.39,20.54,22.55,23.74,23.75,23.75,30.0,39.83,46.85,48.09,6.46,6.46,6.46,6.46,34.56,37.3,37.34,37.34,40.31,53.98,63.84,65.65,22.47,23.37,23.46,23.46
"0.3","ode","partial","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.3","sde","full","-",15.88,27.77,33.38,33.45,26.29,35.66,47.2,52.37,12.8,15.67,16.02,16.02,29.28,30.82,30.83,30.83,35.89,43.67,47.76,48.35,17.36,17.48,17.48,17.48,38.27,41.7,41.74,41.74,46.37,58.81,65.2,65.79,22.34,22.72,22.72,22.72
"0.3","sde","partial","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0.5","sttran_ant","full","-",16.34,28.73,31.14,31.14,23.33,35.7,53.73,58.54,11.72,14.32,14.38,14.38,21.8,22.97,22.97,22.97,33.18,45.55,51.04,51.29,9.78,9.82,9.82,9.82,41.72,45.3,45.33,45.33,50.26,64.91,73.23,73.97,25.63,25.78,25.78,25.78
"0.5","sttran_ant","partial","10",18.23,24.83,26.05,26.05,19.26,30.77,49.16,57.77,11.04,11.11,11.11,11.11,20.26,20.98,20.98,20.98,28.38,40.65,50.95,51.8,8.02,8.02,8.02,8.02,28.63,30.49,30.5,30.5,39.98,57.12,72.26,73.93,12.99,12.99,12.99,12.99
